Altium Designer Pick and Place Locations
C:\Users\sgo\3D Objects\GP1247AI_PCB\Outputs\Pick Place for GP1247AI(1.02).txt

========================================================================================================================
File Design Information:

Date:       29.06.23
Time:       12:16
Revision:   507c7cdc163cb99f5afc4910c264e1bd7aee2558
Variant:    1.02
Units used: mm

Designator Comment                   Layer       Footprint                          Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                 
R8         1M00/0603                 BottomLayer 0603__R                            93.9753      17.0000      0        "Resistor, 1M00, 0,1 W, 1,0 %, TK50, Metallschicht, SMD, 0603"                                                              
R6         20K0/0603                 BottomLayer 0603__R                            69.5000      26.9753      270      "Resistor, 20K0, 0.063W, 1%, TK100, Metallschicht, SMD, 0603"                                                               
R4         1M00/0603                 BottomLayer 0603__R                            75.9753      17.0000      0        "Resistor, 1M00, 0,1 W, 1,0 %, TK50, Metallschicht, SMD, 0603"                                                              
L2         "6.8µH, 1.45A"            BottomLayer WE-TDC_8038                        112.7500     29.2500      0        "WE-TDC SMT Shielded Coupled Inductor, size 8038, 6.8µH, 1.45A, 100mO"                                                      
L1         "6.8µH, 2.4A"             BottomLayer WE-TPC_8020                        76.7500      29.2500      180      "WE-TPC SMT Tiny Power Inductor, size 8020, 6.8µH, 2.4A, 68mO"                                                              
L3         "6.8µH, 2.4A"             BottomLayer WE-TPC_8020                        94.7500      29.2500      180      "WE-TPC SMT Tiny Power Inductor, size 8020, 6.8µH, 2.4A, 68mO"                                                              
D1         STPS1H100A                BottomLayer SMA__R                             94.7500      21.2500      270      "DIODE SCHOTTKY 100V 1A SMA"                                                                                                
D2         STPS1H100A                BottomLayer SMA__R                             76.7500      21.2500      270      "DIODE SCHOTTKY 100V 1A SMA"                                                                                                
D3         STPS1H100A                BottomLayer SMA__R                             114.5350     19.5000      180      "DIODE SCHOTTKY 100V 1A SMA"                                                                                                
C6         1µF/50V/X5R/0603          BottomLayer 0603__R                            71.5000      16.3904      90       "Capacitor, 1µF, 50V, X5R, 10%, Ceramic, SMD, 0603"                                                                         
C8         2.2NF/50V/0603            BottomLayer 0603__R                            71.0000      26.9753      270      "Capacitor, 2.2nF, 50V, 10%, Ceramic, SMD, 0603"                                                                            
C11        47µF/25V/X5R              BottomLayer 1206__R                            115.1545     16.5000      180      "Capacitor, 47µF/25V, 20%, Ceramic X5R, SMD, 1206"                                                                          
C2         1µF/50V/X7R               BottomLayer 1206__R                            112.7500     22.7500      0        "Capacitor, 1µF/50V, 10%, Ceramic X7R, SMD, 1206"                                                                           
C10        47µF/25V/X5R              BottomLayer 1206__R                            115.1545     14.0000      180      "Capacitor, 47µF/25V, 20%, Ceramic X5R, SMD, 1206"                                                                          
C13        4.7pF/100V/0603           BottomLayer 0603__R                            111.5253     15.1000      0        "Capacitor, 4.7pF, 100V, 10%, Ceramic, SMD, 0603"                                                                           
C15        2.2NF/50V/0603            BottomLayer 0603__R                            106.0000     13.2747      90       "Capacitor, 2.2nF, 50V, 10%, Ceramic, SMD, 0603"                                                                            
C12        1µF/50V/X5R/0603          BottomLayer 0603__R                            107.5000     16.3904      90       "Capacitor, 1µF, 50V, X5R, 10%, Ceramic, SMD, 0603"                                                                         
C14        4.7pF/100V/0603           BottomLayer 0603__R                            75.9753      15.5000      0        "Capacitor, 4.7pF, 100V, 10%, Ceramic, SMD, 0603"                                                                           
C9         100NF/50V/0603            BottomLayer 0603__R                            128.3000     7.2253       270      "Capacitor, 100nF, 50V, 10%, Ceramic XR7, SMD, 0603"                                                                        
C4         4.7µF/35V/0603            BottomLayer 0603__R                            109.5000     16.3904      270      "Capacitor, 4.7µF, 35V, 10%, Ceramic X5R, SMD, 0603, Low ESR"                                                               
C7         2.2NF/50V/0603            BottomLayer 0603__R                            70.0000      13.2747      90       "Capacitor, 2.2nF, 50V, 10%, Ceramic, SMD, 0603"                                                                            
C1         4.7µF/100V/X7S            BottomLayer 1206__R                            75.2514      13.5000      0        "Capacitor, 4.7µF/100V, 10%, Ceramic X7S, SMD, 1206"                                                                        
C5         1µF/25V/X7R/0603          BottomLayer 0603__R                            133.3000     7.2253       270      "Capacitor, 1µF, 25V, X7R, 10%, Ceramic, SMD, 0603"                                                                         
C3         4.7µF/35V/0603            BottomLayer 0603__R                            73.5000      16.3904      270      "Capacitor, 4.7µF, 35V, 10%, Ceramic X5R, SMD, 0603, Low ESR"                                                               
D8         GP1247AI                  TopLayer    GP1247AI                           85.0000      4.0000       0        "253*63 Pixels SPI VFD Matrix Display"                                                                                      
U1         LT8361EMSE#PBF            BottomLayer MSOP-16/12__R                      71.7500      21.2500      90       "Conv DC-DC 2.8V to 60V Step Up Single-Out 100V 2A Automotive 12-Pin MSOP EP Tube"                                          
U2         LT8361EMSE#PBF            BottomLayer MSOP-16/12__R                      89.7499      21.2499      90       "Conv DC-DC 2.8V to 60V Step Up Single-Out 100V 2A Automotive 12-Pin MSOP EP Tube"                                          
J1         490107671212              BottomLayer 490107671212_Permanent_Application 166.0000     36.0000      270      "WR-WST REDFIT IDC SKEDD, pitch 2.54mm, 12p"                                                                                
